Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Case Every X ppl,1 Death Every X ppl,1 Test Every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
USA,39330371,158264,651879,1151,30728854,45024,7949638,24740,118027,1956.0,575390210,1726702,333230770,North America,8,511,1,475.0,3,23856
India,32602325,44558,436889,493,31813972,32926,351464,8944,23361,313.0,513129378,367685,1395568473,Asia,43,3194,3,32.0,0,252
Brazil,20676561,31024,577565,835,19577135,0,521861,8318,96487,2695.0,56580445,264032,214293539,South America,10,371,4,145.0,4,2435
Russia,6824540,19630,179243,820,6092818,19661,552479,2300,46741,1228.0,176700000,1210221,146006354,Europe,21,815,1,134.0,6,3784
France,6693019,19683,113775,110,6145288,24984,433956,2128,102278,1739.0,121518857,1856968,65439407,Europe,10,575,1,301.0,2,6631
UK,6628709,38281,132143,140,5251174,54034,1245392,974,97059,1935.0,265689435,3890297,68295411,Europe,10,517,0,561.0,2,18235
Turkey,6293297,19616,55469,257,5771611,15205,466217,633,73709,650.0,74984790,878248,85379961,Asia,14,1539,1,230.0,3,5460
Argentina,5161926,6847,111117,151,4838745,5485,212064,2952,113023,2433.0,21718507,475537,45671583,South America,9,411,2,150.0,3,4643
Colombia,4899085,1935,124567,93,4729909,2602,44609,8155,95119,2419.0,23936680,464745,51504944,South America,11,413,2,38.0,2,866
Iran,4833135,36758,104716,694,4053022,32178,675397,7788,56710,1229.0,28213229,331042,85225532,Asia,18,814,3,431.0,8,7925
Spain,4822320,7115,83861,171,4237823,20379,500636,1701,103095,1793.0,60618810,1295950,46775584,Europe,10,558,1,152.0,4,10703
Italy,4509611,7221,128957,43,4243597,5839,137057,503,74712,2136.0,82836243,1372378,60359657,Europe,13,468,1,120.0,0,2271
Indonesia,4043736,16899,130182,889,3669966,30099,243588,0,14607,470.0,31346461,113229,276841104,Asia,68,2127,9,61.0,3,880
Germany,3913945,12081,92597,25,3714400,3900,106948,869,46544,1101.0,68329706,812563,84091604,Europe,21,908,1,144.0,0,1272
Mexico,3271128,21250,255452,986,2607633,16264,408043,4798,25069,1958.0,9545307,73152,130486512,North America,40,511,14,163.0,8,3127
Poland,2887485,251,75332,3,2656507,152,155646,47,76391,1993.0,19599018,518507,37798979,Europe,13,502,2,7.0,0,4118
South Africa,2734973,12771,80826,357,2485108,10863,169039,546,45457,1343.0,16228941,269736,60166047,Africa,22,744,4,212.0,6,2810
Ukraine,2278171,1581,53566,45,2203429,1269,21176,177,52454,1233.0,11880472,273544,43431646,Europe,19,811,4,36.0,1,488
Peru,2145051,0,198031,0,0,0,0,1390,64035,5912.0,16535979,493636,33498335,South America,16,169,2,0.0,0,6757
Netherlands,1929018,2594,17982,8,1833355,3950,77681,209,112293,1047.0,16482481,959488,17178419,Europe,9,955,1,151.0,0,4522
