Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Case Every X ppl,1 Death Every X ppl,1 Test Every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Philippines,1899200,16313,32728,236,1734551,9659,131921,3055,17070,294.0,18384521,165244,111257087,Asia,59,3399,6,147.0,2,1186
Iraq,1855781,8084,20480,70,1695241,8728,140060,907,44980,496.0,14168599,343417,41257770,Asia,22,2015,3,196.0,2,3395
Czechia,1678331,247,30393,0,1645971,14,1967,14,156388,2832.0,35521619,3309923,10731856,Europe,6,353,0,23.0,0,183
Malaysia,1640843,24599,15211,393,1359791,22657,265841,990,49961,463.0,21861944,665659,32842573,Asia,20,2159,2,749.0,12,8094
Chile,1635958,785,36778,60,1592707,469,6473,765,84743,1905.0,20026949,1037401,19304928,South America,12,525,1,41.0,3,335
Canada,1482659,3349,26864,9,1428913,1906,26882,274,38892,705.0,40067104,1051003,38122739,North America,26,1419,1,88.0,0,705
Bangladesh,1482628,4698,25729,102,1397885,8314,59014,1423,8901,154.0,8788765,52761,166576011,Asia,112,6474,19,28.0,0,354
Japan,1362813,24321,15737,44,1118486,15595,228590,1974,10813,125.0,21115137,167540,126030375,Asia,92,8009,6,193.0,0,1814
Belgium,1173108,2895,25348,6,1092355,4210,55405,171,100716,2176.0,18448582,1583885,11647675,Europe,10,460,1,249.0,0,4757
Pakistan,1140411,4553,25320,100,1022847,3413,92244,5476,5050,112.0,17459249,77317,225815095,Asia,198,8918,13,20.0,0,408
Sweden,1122139,0,14641,0,1084139,631,23359,37,110319,1439.0,11637704,1144123,10171721,Europe,9,695,1,0.0,0,2296
Thailand,1120869,18501,10314,229,923621,20606,186934,5174,16012,147.0,8129670,116135,70001617,Asia,62,6787,9,264.0,3,2670
Romania,1093924,953,34471,17,1053091,613,6362,228,57304,1806.0,11318294,592898,19089767,Europe,17,554,2,50.0,0,333
Portugal,1028421,2552,17689,15,965324,2119,45408,150,101198,1741.0,16743692,1647603,10162455,Europe,10,575,1,251.0,1,4468
Israel,1028271,6064,6937,29,945011,9497,76323,693,110259,744.0,18787315,2014509,9326000,Asia,9,1344,0,650.0,3,8184
Morocco,836494,7357,12176,97,757268,9522,67050,1394,22358,325.0,8801213,235242,37413439,Africa,45,3073,4,197.0,3,1792
Hungary,811517,180,30056,1,774600,1031,6861,9,84251,3120.0,6531925,678142,9632091,Europe,12,320,1,19.0,0,712
Jordan,793182,904,10350,12,770192,1000,12640,621,76862,1003.0,9123785,884122,10319604,Asia,13,997,1,88.0,1,1225
Switzerland,768001,2809,10962,0,704338,851,52701,214,87999,1256.0,9627169,1103093,8727432,Europe,11,796,1,322.0,0,6039
Kazakhstan,761249,6358,8758,115,641249,9748,111242,221,39992,460.0,11575012,608095,19034864,Asia,25,2173,2,334.0,6,5844
Nepal,754915,2052,10638,26,705893,1929,38384,0,25385,358.0,3868717,130091,29738456,Asia,39,2795,8,69.0,0,1291
Serbia,751147,2454,7240,7,718012,577,25895,58,86370,832.0,4960665,570400,8696817,Europe,12,1201,2,282.0,0,2978
UAE,713402,991,2031,3,697419,1576,13952,0,71143,203.0,73166834,7296434,10027753,Asia,14,4937,0,99.0,0,1391
Austria,681617,1438,10772,2,657013,997,13832,95,75188,1188.0,75098854,8284000,9065530,Europe,13,842,0,159.0,0,1526
Tunisia,651035,3552,22932,72,603018,3578,25085,530,54431,1917.0,2514986,210269,11960804,Africa,18,522,5,297.0,6,2097
Cuba,619672,8509,4902,96,565116,9746,49654,451,54748,433.0,7688668,679292,11318653,North America,18,2309,1,752.0,8,4387
Lebanon,596854,1332,8031,7,549114,1490,39709,54,87899,1183.0,4759054,700869,6790223,Asia,11,846,1,196.0,1,5848
Greece,573605,3528,13487,28,521778,3228,38340,336,55344,1301.0,15096664,1456591,10364382,Europe,18,768,1,340.0,3,3699
Saudi Arabia,543318,290,8512,7,530917,535,3889,1061,15332,240.0,27163038,766524,35436627,Asia,65,4163,1,8.0,0,110
Georgia,532171,4128,7028,79,468917,5611,56226,0,133700,1766.0,7860045,1974714,3980346,Asia,7,566,1,1037.0,20,14126
Ecuador,499631,0,32134,0,443880,0,23617,759,27833,1790.0,1748358,97397,17950803,South America,36,559,10,0.0,0,1316
Bolivia,488403,682,18350,20,429995,856,40058,220,41195,1548.0,2246838,189511,11855985,South America,24,646,5,58.0,2,3379
Belarus,474403,1551,3723,11,467836,1504,2844,0,50224,394.0,7720145,817315,9445743,Europe,20,2537,1,164.0,1,301
Paraguay,458116,0,15633,0,435771,0,6712,159,63335,2161.0,1761317,243503,7233237,South America,16,463,4,0.0,0,928
Guatemala,455263,5113,11694,79,390195,2818,53374,5,24883,639.0,2141913,117070,18296004,North America,40,1565,9,279.0,4,2917
Panama,454330,0,7023,0,438725,0,8582,108,103426,1599.0,3613343,822564,4392782,North America,10,625,1,0.0,0,1954
Costa Rica,450291,0,5394,0,361094,0,83803,437,87476,1048.0,2006420,389777,5147614,North America,11,954,3,0.0,0,16280
Bulgaria,448431,1733,18647,34,403777,485,26007,279,65102,2707.0,4114130,597277,6888147,Europe,15,369,2,252.0,5,3776
Sri Lanka,412370,4602,8157,209,351069,2139,53144,0,19165,379.0,4575585,212654,21516586,Asia,52,2638,5,214.0,10,2470
Kuwait,409009,212,2414,2,403420,488,3175,109,94174,556.0,3724132,857477,4343126,Asia,11,1799,1,49.0,0,731
Azerbaijan,405542,3714,5434,31,353140,2470,46968,0,39587,530.0,4379510,427508,10244278,Asia,25,1885,2,363.0,3,4585
Slovakia,394446,161,12547,0,380755,74,1144,12,72207,2297.0,3296756,603504,5462687,Europe,14,435,2,29.0,0,209
Vietnam,392938,11575,9667,318,188488,18567,194783,0,3995,98.0,15271562,155284,98345806,Asia,250,10173,6,118.0,3,1981
Uruguay,384458,66,6025,3,377191,126,1242,11,110236,1728.0,3298839,945880,3487588,South America,9,579,1,19.0,0,356
Myanmar,383514,2635,14850,113,311952,2920,56712,0,6995,271.0,3471394,63313,54829449,Asia,143,3692,16,48.0,2,1034
Croatia,371623,638,8316,6,360054,330,3253,43,91172,2040.0,2501327,613659,4076087,Europe,11,490,2,157.0,1,798
Dominican Republic,348915,349,4007,1,339932,51,4976,146,31798,365.0,1941724,176955,10972993,North America,31,2738,6,32.0,0,453
Ireland,344195,1866,5092,0,290294,1096,48809,61,68823,1018.0,6415912,1282876,5001194,Europe,15,982,1,373.0,0,9759
Denmark,341549,982,2573,2,325647,984,13329,21,58729,442.0,80314752,13810034,5815681,Europe,17,2260,0,169.0,0,2292
Honduras,332832,1460,8751,47,106085,288,217996,654,33001,868.0,961084,95293,10085537,North America,30,1153,10,145.0,5,21615
Palestine,332609,1788,3657,3,315617,343,13335,33,63506,698.0,2123571,405462,5237413,Asia,16,1432,2,341.0,0,2546
Venezuela,328550,0,3940,0,314367,0,10243,681,11592,139.0,3359014,118513,28343115,South America,86,7194,8,0.0,0,361
Libya,302177,1722,4152,26,216844,698,81181,0,43300,595.0,1496380,214422,6978658,Africa,23,1681,5,247.0,4,11633
Oman,301784,101,4049,2,291039,226,6696,68,57423,770.0,1550000,294929,5255499,Asia,17,1298,3,19.0,0,1274
Ethiopia,301713,1621,4606,13,271819,707,25288,561,2552,39.0,3200770,27073,118228271,Africa,392,25668,37,14.0,0,214
Lithuania,296096,703,4513,7,278131,591,13452,101,110547,1685.0,4365094,1629697,2678469,Europe,9,594,1,262.0,3,5022
Egypt,287159,221,16701,10,237056,517,33402,90,2747,160.0,3068679,29351,104549910,Africa,364,6260,34,2.0,0,319
Bahrain,272042,109,1388,0,269662,90,992,2,153762,785.0,5850590,3306838,1769240,Asia,7,1275,0,62.0,0,561
Moldova,266314,497,6384,4,256283,292,3647,124,66195,1587.0,1551934,385750,4023162,Europe,15,630,3,124.0,1,907
Slovenia,265159,509,4444,1,256437,249,4278,11,127525,2137.0,1435856,690559,2079267,Europe,8,468,1,245.0,0,2057
S. Korea,243317,1878,2257,20,212871,1694,28189,434,4741,44.0,12866802,250717,51319994,Asia,211,22738,4,37.0,0,549
Armenia,239739,683,4785,7,225234,315,9720,0,80731,1611.0,1511103,508854,2969620,Asia,12,621,2,230.0,2,3273
Kenya,232869,817,4635,35,216771,644,11463,149,4224,84.0,2342816,42496,55129962,Africa,237,11894,24,15.0,0,208
Qatar,231792,233,601,0,228327,233,2864,20,82553,214.0,2475733,881733,2807805,Asia,12,4672,1,83.0,0,1020
Bosnia and Herzegovina,211689,630,9770,12,192218,0,9701,0,64989,2999.0,1129226,346676,3257298,Europe,15,333,3,193.0,4,2978
Zambia,205315,208,3587,1,199434,320,2294,148,10821,189.0,2243899,118263,18973808,Africa,92,5290,8,11.0,0,121
Mongolia,201746,2467,919,6,187503,1465,13324,192,60422,275.0,3647780,1092502,3338923,Asia,17,3633,1,739.0,2,3991
Algeria,193674,503,5121,25,131535,392,57018,36,4327,114.0,230861,5158,44760109,Africa,231,8741,194,11.0,0,1274
Nigeria,189715,835,2298,10,169626,244,17791,11,895,11.0,2727834,12867,211996970,Africa,1117,92253,78,4.0,0,84
Kyrgyzstan,174813,237,2503,5,168012,422,4298,131,26296,377.0,1635882,246078,6647809,Asia,38,2656,4,36.0,0,647
North Macedonia,172657,1081,5782,27,153640,492,13235,0,82878,2775.0,1130975,542883,2083275,Europe,12,360,2,519.0,13,6353
Botswana,153793,2951,2213,42,144254,3904,7326,1,63918,920.0,1629455,677214,2406114,Africa,16,1087,1,1226.0,17,3045
Norway,153534,1415,814,0,88952,0,63768,8,28068,149.0,7017791,1282959,5470002,Europe,36,6720,1,259.0,0,11658
Afghanistan,152960,138,7101,8,109626,590,36233,1124,3830,178.0,750213,18786,39933917,Asia,261,5624,53,3.0,0,907
Uzbekistan,152363,846,1050,7,144988,684,6325,23,4478,31.0,1377915,40495,34026473,Asia,223,32406,25,25.0,0,186
Mozambique,144468,436,1825,3,130265,2046,12378,32,4478,57.0,838704,25999,32258656,Africa,223,17676,38,14.0,0,384
Albania,142253,888,2486,3,132086,274,7681,3,49493,865.0,1026470,357135,2874178,Europe,20,1156,3,309.0,1,2672
Latvia,141686,150,2571,1,137146,0,1969,15,76087,1381.0,3357617,1803088,1862148,Europe,13,724,1,81.0,0,1057
Estonia,140341,405,1286,1,132636,321,6419,10,105713,969.0,1731816,1304509,1327562,Europe,9,1032,1,305.0,0,4835
Finland,124285,650,1018,0,46000,0,77267,22,22391,183.0,6431322,1158665,5550631,Europe,45,5452,1,117.0,0,13920
Namibia,124275,192,3361,12,118556,85,2358,33,47914,1296.0,652869,251710,2593732,Africa,21,772,4,74.0,5,909
Zimbabwe,123986,275,4356,18,110183,685,9447,12,8205,288.0,1249964,82716,15111493,Africa,122,3469,12,18.0,1,625
Uganda,119141,104,2973,5,95421,16,20747,356,2514,63.0,1561437,32945,47394723,Africa,398,15942,30,2.0,0,438
Ghana,116441,916,991,9,108469,776,6981,62,3660,31.0,1582950,49751,31817147,Africa,273,32106,20,29.0,0,219
Cyprus,112532,254,491,5,90755,0,21286,92,92431,403.0,9366973,7693802,1217470,Asia,11,2480,0,209.0,4,17484
Montenegro,112500,764,1704,9,103328,380,7468,11,179095,2713.0,603354,960513,628158,Europe,6,369,1,1216.0,14,11889
El Salvador,94060,0,2872,9,79740,0,11448,145,14418,440.0,1204834,184681,6523868,North America,69,2272,5,0.0,1,1755
Cambodia,90958,423,1841,6,86993,291,2124,0,5355,108.0,3074106,180991,16984826,Asia,187,9226,6,25.0,0,125
Rwanda,85201,570,1056,8,45272,12,38873,44,6396,79.0,2358929,177093,13320304,Africa,156,12614,6,43.0,0,2918
Cameroon,83425,971,1350,12,80433,0,1642,152,3055,49.0,1751774,64160,27303399,Africa,327,20225,16,36.0,0,60
Maldives,80436,108,225,0,78514,106,1697,18,145856,408.0,1320805,2395041,551475,Asia,7,2451,0,196.0,0,3077
Luxembourg,75442,130,830,0,73745,58,867,5,118308,1302.0,3398895,5330145,637674,Europe,8,768,0,204.0,0,1360
Senegal,72315,100,1717,11,59596,533,11002,49,4192,100.0,727750,42189,17249615,Africa,239,10046,24,6.0,0,638
Singapore,66928,116,52,0,65909,84,967,7,11337,9.0,17338504,2937103,5903267,Asia,88,113524,0,20.0,0,164
Jamaica,64294,463,1453,22,47918,42,14923,58,21604,488.0,538347,180894,2976042,North America,46,2048,6,156.0,7,5014
Malawi,60090,136,2129,18,46573,283,11388,285,3051,108.0,381381,19363,19696539,Africa,328,9252,52,7.0,0,578
Ivory Coast,54299,261,415,2,52904,70,980,0,2002,15.0,880168,32446,27127134,Africa,500,65367,31,10.0,0,36
DRC,54226,89,1057,2,30858,0,22311,0,585,11.0,306299,3305,92679286,Africa,1709,87681,303,1.0,0,241
Réunion,48683,0,332,0,45980,0,2371,33,53933,368.0,173764,192502,902662,Africa,19,2719,5,0.0,0,2627
Australia,47840,1112,989,3,32612,0,14239,125,1851,38.0,30524318,1181282,25839984,Australia/Oceania,540,26127,1,43.0,0,551
Angola,46726,187,1182,6,42980,148,2564,8,1373,35.0,830836,24410,34036790,Africa,728,28796,41,5.0,0,75
Guadeloupe,45277,0,439,0,2250,0,42588,23,113135,1097.0,369615,923569,400203,North America,9,912,1,0.0,0,106416
Fiji,45168,423,468,9,25138,230,19562,39,49969,518.0,368208,407347,903918,Australia/Oceania,20,1931,2,468.0,10,21641
Trinidad and Tobago,43750,212,1258,6,37654,328,4838,22,31145,896.0,304866,217032,1404705,North America,32,1117,5,151.0,4,3444
Madagascar,42854,4,955,0,41287,4,612,13,1503,34.0,240123,8423,28506984,Africa,665,29850,119,0.1,0,21
Eswatini,42157,477,1057,15,31768,501,9332,10,35910,900.0,310531,264512,1173975,Africa,28,1111,4,406.0,13,7949
French Polynesia,40178,0,370,17,33500,0,6308,57,142084,1308.0,26355,93201,282776,Australia/Oceania,7,764,11,0.0,60,22307
Sudan,37699,49,2831,3,31630,28,3238,0,837,63.0,238579,5299,45023349,Africa,1194,15904,189,1.0,0,72
Malta,35950,42,438,1,34447,59,1065,2,81170,989.0,1174898,2652757,442897,Europe,12,1011,0,95.0,2,2405
Cabo Verde,34992,73,307,0,33955,48,730,23,62160,545.0,205858,365690,562930,Africa,16,1834,3,130.0,0,1297
Martinique,34845,0,405,0,104,0,34336,1,92937,1080.0,315249,840821,374930,North America,11,926,1,0.0,0,91580
French Guiana,34166,200,215,6,9995,0,23956,27,111089,699.0,356279,1158424,307555,South America,9,1430,1,650.0,20,77892
Mauritania,32721,235,693,9,29276,273,2752,16,6831,145.0,435195,90860,4789728,Africa,146,6912,11,49.0,2,575
Guinea,29209,187,326,8,26658,284,2225,24,2157,24.0,534667,39485,13540981,Africa,464,41537,25,14.0,0,164
Suriname,28228,230,707,2,23856,156,3665,14,47628,1193.0,101530,171307,592677,South America,21,838,6,388.0,3,6184
Syria,27325,104,1989,4,22368,20,2968,0,1519,111.0,103566,5757,17988097,Asia,658,9044,174,6.0,0,165
Gabon,25762,0,165,0,25515,0,82,6,11270,72.0,1071634,468790,2285958,Africa,89,13854,2,0.0,0,36
Guyana,24864,151,606,4,22617,102,1641,22,31437,766.0,260368,329196,790920,South America,32,1305,3,191.0,5,2075
Haiti,20833,0,584,0,17563,0,2686,0,1802,51.0,107702,9315,11562295,North America,555,19798,107,0.0,0,232
Togo,20517,273,175,0,16397,82,3945,0,2413,21.0,453805,53381,8501230,Africa,414,48578,19,32.0,0,464
Seychelles,19777,183,104,0,19053,144,620,0,199671,1050.0,21504,217107,99048,Africa,5,952,5,1848.0,0,6260
Mayotte,19726,9,175,0,2964,0,16587,1,70359,624.0,176919,631038,280362,Africa,14,1602,2,32.0,0,59163
Papua New Guinea,17838,0,192,0,17547,0,99,7,1951,21.0,150870,16504,9141561,Australia/Oceania,512,47612,61,0.0,0,11
Bahamas,17717,102,343,0,14419,630,2955,19,44564,863.0,131472,330693,397565,North America,22,1159,3,257.0,0,7433
Somalia,17016,0,938,0,8212,0,7866,0,1037,57.0,194981,11888,16401229,Africa,964,17485,84,0.0,0,480
Tajikistan,16514,0,124,0,16297,0,93,0,1688,13.0,0,0,9783358,Asia,592,78898,0,0.0,0,10
Taiwan,15947,8,832,2,14911,18,204,0,668,35.0,4672849,195792,23866408,Asia,1497,28686,5,0.3,0,9
Belize,15793,0,356,0,14447,0,990,3,38907,877.0,213685,526428,405915,North America,26,1140,2,0.0,0,2439
Timor-Leste,15603,307,56,4,11344,152,4203,0,11581,42.0,169501,125811,1347268,Asia,86,24058,8,228.0,3,3120
Curaçao,15086,0,142,0,14468,0,476,4,91505,861.0,227903,1382361,164865,North America,11,1161,1,0.0,0,2887
Andorra,15016,2,130,0,14810,9,76,7,193988,1679.0,193595,2501001,77407,Europe,5,595,0,26.0,0,982
Mali,14803,8,537,0,14069,4,197,0,708,26.0,376358,17991,20918968,Africa,1413,38955,56,0.4,0,9
Lesotho,14395,7,403,0,6830,42,7162,0,6659,186.0,146630,67828,2161783,Africa,150,5364,15,3.0,0,3313
Aruba,14231,0,132,0,13368,0,731,14,132643,1230.0,177885,1658014,107288,North America,8,813,1,0.0,0,6813
Laos,14104,195,12,1,4604,0,9488,0,1907,2.0,369333,49931,7396852,Asia,524,616404,20,26.0,0,1283
Burkina Faso,13749,12,171,0,13477,0,101,0,638,8.0,210136,9747,21560031,Africa,1568,126082,103,0.6,0,5
Congo,13533,40,183,4,12421,0,929,0,2385,32.0,188207,33171,5673804,Africa,419,31004,30,7.0,0,164
Benin,12492,0,127,0,8572,0,3793,5,1000,10.0,604310,48395,12487131,Africa,1000,98324,21,0.0,0,304
Hong Kong,12078,3,212,0,11772,0,94,0,1596,28.0,22744169,3005728,7566941,Asia,627,35693,0,0.4,0,12
Djibouti,11707,0,157,0,11531,0,19,0,11654,156.0,204134,203218,1004506,Africa,86,6398,5,0.0,0,19
Burundi,11599,218,38,0,773,0,10788,0,943,3.0,345742,28117,12296359,Africa,1060,323588,36,18.0,0,877
South Sudan,11347,0,120,0,10948,0,279,0,1000,11.0,211214,18618,11344578,Africa,1000,94538,54,0.0,0,25
CAR,11270,0,99,0,6859,0,4312,2,2288,20.0,60228,12226,4926185,Africa,437,49759,82,0.0,0,875
Nicaragua,11167,0,199,0,4225,0,6743,0,1663,30.0,0,0,6715148,North America,601,33744,0,0.0,0,1004
Iceland,10443,102,31,1,9482,80,930,18,30376,90.0,958542,2788153,343791,Europe,33,11090,0,297.0,3,2705
Channel Islands,10398,0,94,0,9853,0,451,0,59178,535.0,803362,4572194,175706,Europe,17,1869,0,0.0,0,2567
Gambia,9533,63,311,10,9110,61,112,3,3822,125.0,101817,40817,2494449,Africa,262,8021,24,25.0,4,45
Equatorial Guinea,9173,0,123,0,8841,0,209,1,6301,84.0,190922,131151,1455738,Africa,159,11835,8,0.0,0,144
Mauritius,8667,0,27,0,1854,0,6786,0,6802,21.0,358675,281491,1274198,Africa,147,47193,4,0.0,0,5326
Yemen,7676,51,1444,6,4736,34,1496,23,251,47.0,233758,7644,30579490,Asia,3984,21177,131,2.0,0,49
Saint Lucia,7536,0,101,0,5830,0,1605,4,40825,547.0,66939,362630,184593,North America,24,1828,3,0.0,0,8695
Eritrea,6636,1,37,0,6587,6,12,0,1842,10.0,23693,6576,3602818,Africa,543,97373,152,0.3,0,3
Isle of Man,6508,50,38,1,6046,0,424,1,76072,444.0,83753,978983,85551,Europe,13,2251,1,584.0,12,4956
Sierra Leone,6363,5,121,0,4351,7,1891,0,779,15.0,160729,19690,8163130,Africa,1283,67464,51,0.6,0,232
Niger,5807,0,198,0,5507,0,102,0,230,8.0,140846,5587,25208793,Africa,4341,127317,179,0.0,0,4
Guinea-Bissau,5634,0,110,0,4666,0,858,4,2787,54.0,90129,44589,2021339,Africa,359,18376,22,0.0,0,424
Liberia,5459,0,148,0,2715,0,2596,2,1051,28.0,128246,24691,5194000,Africa,951,35095,41,0.0,0,500
Gibraltar,5314,5,96,0,5114,5,104,4,157784,2850.0,333653,9906856,33679,Europe,6,351,0,148.0,0,3088
San Marino,5261,0,90,0,5119,0,52,1,154676,2646.0,74465,2189310,34013,Europe,6,378,0,0.0,0,1529
Chad,4989,2,174,0,4808,0,7,0,294,10.0,138128,8142,16965780,Africa,3401,97504,123,0.1,0,0.4
Barbados,4720,0,48,0,4496,0,176,0,16401,167.0,252611,877792,287780,North America,61,5995,1,0.0,0,612
Comoros,4055,0,147,0,3893,0,15,0,4552,165.0,0,0,890853,Africa,220,6060,0,0.0,0,17
Sint Maarten,3550,0,46,0,3182,0,322,2,81729,1059.0,37841,871190,43436,North America,12,944,1,0.0,0,7413
Saint Martin,3273,179,42,1,1399,0,1832,7,83023,1065.0,54303,1377445,39423,North America,12,939,1,4540.0,25,46470
Liechtenstein,3250,3,59,0,3127,7,64,5,84958,1542.0,49126,1284206,38254,Europe,12,648,1,78.0,0,1673
New Zealand,3227,68,26,0,2887,0,314,5,645,5.0,2854717,570704,5002100,Australia/Oceania,1550,192388,2,14.0,0,63
Monaco,3170,7,33,0,3050,5,87,6,80127,834.0,54960,1389212,39562,Europe,12,1199,1,177.0,0,2199
Bermuda,2792,0,33,0,2618,0,141,1,45023,532.0,446240,7195911,62013,North America,22,1879,0,0.0,0,2274
Turks and Caicos,2616,0,20,0,2514,0,82,1,66533,509.0,94789,2410768,39319,North America,15,1966,0,0.0,0,2086
Bhutan,2591,0,3,0,2559,0,29,0,3316,4.0,798573,1022009,781376,Asia,302,260459,1,0.0,0,37
Sao Tome and Principe,2570,15,37,0,2415,2,118,0,11482,165.0,14689,65625,223831,Africa,87,6049,15,67.0,0,527
British Virgin Islands,2568,0,37,0,2500,0,31,7,84302,1215.0,77252,2536012,30462,North America,12,823,0,0.0,0,1018
St. Vincent Grenadines,2321,0,12,0,2272,0,37,2,20845,108.0,65048,584197,111346,North America,48,9279,2,0.0,0,332
Brunei,2265,106,7,1,578,41,1680,30,5121,16.0,217168,491002,442296,Asia,195,63185,2,240.0,2,3798
Caribbean Netherlands,1780,0,17,0,1721,0,42,0,67162,641.0,20707,781308,26503,North America,15,1559,1,0.0,0,1585
Antigua and Barbuda,1598,0,43,0,1333,0,222,9,16164,435.0,17409,176094,98862,North America,62,2299,6,0.0,0,2246
St. Barth,1520,31,2,0,462,0,1056,0,153349,202.0,38369,3870964,9912,North America,7,4956,0,3128.0,0,106538
Tanzania,1367,0,50,0,183,0,1134,7,22,0.8,0,0,61683292,Africa,45123,1233666,0,0.0,0,18
Dominica,1339,0,1,0,794,0,544,0,18548,14.0,41298,572058,72192,North America,54,72192,2,0.0,0,7535
Faeroe Islands,999,0,2,0,991,0,6,0,20356,41.0,402000,8191210,49077,Europe,49,24539,0,0.0,0,122
Saint Kitts and Nevis,955,26,3,0,611,3,341,1,17807,56.0,29973,558864,53632,North America,56,17877,2,485.0,0,6358
Cayman Islands,669,0,2,0,654,0,13,0,10044,30.0,124962,1876053,66609,North America,100,33305,1,0.0,0,195
Wallis and Futuna,445,0,7,0,438,0,0,0,40410,636.0,20508,1862332,11012,Australia/Oceania,25,1573,1,0.0,0,0
Grenada,266,0,1,0,189,0,76,0,2351,9.0,55845,493666,113123,North America,425,113123,2,0.0,0,672
Montserrat,26,1,1,0,20,0,5,0,5205,200.0,1408,281882,4995,North America,192,4995,4,200.0,0,1001
Western Sahara,10,0,1,0,8,0,1,0,16,2.0,0,0,614177,Africa,61418,614177,0,0.0,0,2
Vanuatu,4,0,1,0,3,0,0,0,13,3.0,23000,72929,315376,Australia/Oceania,78844,315376,14,0.0,0,0
